room_type,neighbourhood_cleansed,latitude,longitude,price,last_review
Entire home/apt,North Beach,37.80226,-122.40818,417.0,2023-05-30
Entire home/apt,South of Market,37.77605,-122.41593,280.0,2023-01-29
Private room,Castro/Upper Market,37.758919,-122.434776,120.0,2023-05-09
Entire home/apt,South of Market,37.78098,-122.39753,99.0,2023-04-28
Entire home/apt,Bayview,37.71889,-122.39441,172.0,2023-05-14
Entire home/apt,Bernal Heights,37.74075288328608,-122.41049278590052,492.0,2023-03-26
Entire home/apt,South of Market,37.77839,-122.39643,250.0,2023-05-28
Entire home/apt,Outer Sunset,37.7593902,-122.5060959,406.0,2023-05-31
Private room,Haight Ashbury,37.77085,-122.44814,84.0,2023-05-13
Private room,Crocker Amazon,37.70976,-122.44522,52.0,2023-05-10
Entire home/apt,Outer Richmond,37.77455,-122.49918,155.0,2023-05-21
Private room,Financial District,37.78931,-122.40588,128.0,2023-05-29
Entire home/apt,Mission,37.76584,-122.42097,196.0,2023-04-21
Entire home/apt,Outer Richmond,37.78172,-122.49235,198.0,2023-05-29
Private room,South of Market,37.77965835927005,-122.4068994104469,63.0,2023-05-24
Entire home/apt,Western Addition,37.77646,-122.42586,356.0,2023-06-03
Private room,North Beach,37.80658721923828,-122.4180145263672,255.0,2023-05-17
Private room,Western Addition,37.774323,-122.43644,249.0,2023-05-06
Entire home/apt,Western Addition,37.77485,-122.42614,325.0,2023-06-03
Private room,Outer Sunset,37.764172,-122.477547,92.0,2023-04-01
Entire home/apt,Inner Sunset,37.76546,-122.45824,160.0,2023-05-13
Entire home/apt,Ocean View,37.72292,-122.45486,80.0,2023-01-09
Entire home/apt,Inner Richmond,37.77542409469234,-122.46955413623904,176.0,2023-05-24
Private room,Inner Richmond,37.78157,-122.46191,95.0,2023-05-29
Entire home/apt,Glen Park,37.73958,-122.43192,199.0,2023-04-09
Entire home/apt,Mission,37.74917,-122.417,516.0,2023-04-30
Entire home/apt,Chinatown,37.79072,-122.40796,89.0,2023-01-06
Entire home/apt,Nob Hill,37.79149,-122.41101,161.0,2023-04-19
Entire home/apt,Downtown/Civic Center,37.77756,-122.42065,125.0,2023-03-17
Entire home/apt,Downtown/Civic Center,37.7799,-122.42295,114.0,2023-01-31
Private room,Nob Hill,37.79178,-122.41928,357.0,2023-05-29
Entire home/apt,South of Market,37.78022,-122.39752,99.0,2023-03-26
Private room,Noe Valley,37.74248,-122.4251,140.0,2023-04-30
Private room,Pacific Heights,37.79702,-122.42575,180.0,2023-05-04
Entire home/apt,Russian Hill,37.8055,-122.42058,185.0,2023-04-27
Entire home/apt,Inner Richmond,37.78639,-122.47383,399.0,2023-04-30
Private room,Outer Sunset,37.74844,-122.49186,66.0,2023-05-18
Entire home/apt,Downtown/Civic Center,37.78697,-122.41104,109.0,2023-04-19
Private room,Bernal Heights,37.74109,-122.41436,120.0,2023-04-23
Entire home/apt,Western Addition,37.77743,-122.42502,140.0,2023-02-13
Entire home/apt,South of Market,37.77441,-122.40162,314.0,2023-04-19
Entire home/apt,Visitacion Valley,37.71683,-122.40207,212.0,2023-05-27
Entire home/apt,Twin Peaks,37.74838752320793,-122.44600792367038,471.0,2023-05-17
Entire home/apt,Diamond Heights,37.73591,-122.44311,595.0,2023-05-29
Entire home/apt,Haight Ashbury,37.76445,-122.449,100.0,2023-02-09
Entire home/apt,South of Market,37.77543,-122.41784,179.0,2023-05-24
Entire home/apt,Bernal Heights,37.74754,-122.41128,252.0,2023-05-21
Entire home/apt,Downtown/Civic Center,37.7782,-122.42303,125.0,2023-02-02
Entire home/apt,Outer Richmond,37.77366,-122.50081,93.0,2023-05-29
Private room,South of Market,37.7759,-122.40959,100.0,2023-05-19
Private room,Mission,37.76005,-122.42208,171.0,2023-03-06
Entire home/apt,Western Addition,37.77965,-122.42432,115.0,2023-05-24
Entire home/apt,Pacific Heights,37.78972,-122.43086,220.0,2023-05-13
Entire home/apt,Western Addition,37.77099,-122.43355,178.0,2023-05-29
Entire home/apt,Outer Richmond,37.77645,-122.47937,239.0,2023-05-28
Private room,Outer Sunset,37.7592,-122.47794,48.0,2023-04-19
Entire home/apt,Mission,37.76907,-122.42099,500.0,2023-02-26
Entire home/apt,Downtown/Civic Center,37.7785,-122.42317,60.0,2023-04-27
Entire home/apt,South of Market,37.78836,-122.39124,135.0,2023-05-05
Entire home/apt,Noe Valley,37.74889,-122.44026,226.0,2023-06-03
Entire home/apt,Noe Valley,37.7491,-122.42655,126.0,2023-02-04
Entire home/apt,Downtown/Civic Center,37.77759,-122.42117,107.0,2023-05-11
Entire home/apt,Outer Richmond,37.77714,-122.50075,325.0,2023-06-01
Entire home/apt,West of Twin Peaks,37.742973,-122.452248,307.0,2023-05-28
Private room,Visitacion Valley,37.71993,-122.40219,75.0,2023-03-26
Entire home/apt,Outer Richmond,37.775017,-122.492188,200.0,2023-05-30
Entire home/apt,Pacific Heights,37.79111,-122.42954,250.0,2023-05-27
Private room,Downtown/Civic Center,37.78746,-122.41312,174.0,2023-05-19
Private room,Excelsior,37.7267606,-122.4085215,62.0,2023-05-04
Entire home/apt,Haight Ashbury,37.7675,-122.44597,227.0,2023-05-22
Private room,Outer Sunset,37.75547,-122.48016,260.0,2023-06-04
Private room,Excelsior,37.7263,-122.4249,47.0,2023-05-20
Private room,Downtown/Civic Center,37.78893,-122.41107,100.0,2023-05-15
Entire home/apt,Haight Ashbury,37.7708767,-122.4412783,558.0,2023-05-21
Entire home/apt,Downtown/Civic Center,37.77977,-122.42342,115.0,2023-03-23
Entire home/apt,South of Market,37.77462,-122.40881,220.0,2023-05-05
Entire home/apt,South of Market,37.7728,-122.41687,200.0,2023-05-28
Entire home/apt,Mission,37.77052,-122.42249,130.0,2023-02-20
Entire home/apt,Parkside,37.74125,-122.50422,268.0,2023-05-17
Entire home/apt,Ocean View,37.72219,-122.45448,216.0,2023-05-24
Entire home/apt,Outer Sunset,37.7587238,-122.4770855,90.0,2023-06-01
Entire home/apt,South of Market,37.7868173,-122.3923458,230.0,2023-05-30
Private room,Financial District,37.78931,-122.40588,154.0,2023-06-03
Entire home/apt,Bayview,37.72990180214453,-122.39001237939114,100.0,2023-04-15
Entire home/apt,Glen Park,37.74063,-122.42691,225.0,2023-05-09
Entire home/apt,Pacific Heights,37.79096,-122.42373,385.0,2023-04-27
Private room,Inner Richmond,37.78369,-122.46364,80.0,2023-05-27
Entire home/apt,Marina,37.80077,-122.42981,250.0,2023-04-15
Entire home/apt,Outer Sunset,37.76302,-122.48987,172.0,2023-06-03
Entire home/apt,Downtown/Civic Center,37.78979,-122.40907,145.0,2023-04-28
Entire home/apt,Castro/Upper Market,37.75714,-122.43352,427.0,2023-05-19
Private room,Downtown/Civic Center,37.78935,-122.40735,250.0,2023-04-25
Entire home/apt,Crocker Amazon,37.71109,-122.44292,186.0,2023-05-18
Entire home/apt,South of Market,37.77618,-122.41441,430.0,2023-05-17
Entire home/apt,Western Addition,37.77583,-122.42823,105.0,2023-04-14
Entire home/apt,Outer Mission,37.71978,-122.44316,185.0,2023-05-20
Entire home/apt,Mission,37.7555,-122.41128,150.0,2023-05-20
Entire home/apt,Downtown/Civic Center,37.77907,-122.4211,137.0,2023-05-18
Private room,Inner Sunset,37.7613,-122.46267,53.0,2023-01-01
Private room,Ocean View,37.72224,-122.45178,45.0,2023-03-04
Entire home/apt,Castro/Upper Market,37.76162,-122.42855,275.0,2023-05-14
Entire home/apt,Marina,37.80392882200339,-122.44317572474051,260.0,2023-04-12
Entire home/apt,Noe Valley,37.749444,-122.440979,174.0,2023-06-02
Private room,South of Market,37.781309752484496,-122.40685935017724,73.0,2023-05-23
Entire home/apt,Russian Hill,37.79684571610644,-122.42339542378568,125.0,2023-05-10
Private room,South of Market,37.77600119126811,-122.40797740571315,69.0,2023-04-28
Entire home/apt,Nob Hill,37.79267767608896,-122.40931704487176,264.0,2023-04-27
Entire home/apt,Outer Richmond,37.7755266,-122.5055263,335.0,2023-04-22
Private room,Financial District,37.78955788309958,-122.40399179294694,81.0,2023-05-07
Entire home/apt,South of Market,37.7872153365064,-122.39132177457029,200.0,2023-05-17
Entire home/apt,Russian Hill,37.800541021692645,-122.42113057018037,224.0,2023-05-30
Private room,Mission,37.76155,-122.42421,136.0,2023-05-24
Private room,Mission,37.75794,-122.41911,150.0,2023-05-27
Entire home/apt,Outer Sunset,37.7587,-122.5088,320.0,2023-06-01
Entire home/apt,Haight Ashbury,37.76632,-122.45165,155.0,2023-03-25
Private room,Outer Sunset,37.75637,-122.49363,99.0,2023-05-31
Private room,Pacific Heights,37.78855,-122.44154,240.0,2023-03-28
Entire home/apt,Inner Richmond,37.78517,-122.46989,169.0,2023-06-02
Entire home/apt,Noe Valley,37.74402,-122.43729,119.0,2023-05-28
Private room,Western Addition,37.78687,-122.43205,157.0,2023-05-18
Entire home/apt,Ocean View,37.71841,-122.45258,225.0,2023-05-29
Private room,Chinatown,37.79153,-122.40736,391.0,2023-04-26
Private room,Noe Valley,37.74868,-122.42925,250.0,2023-05-30
Entire home/apt,Western Addition,37.77251,-122.43454,527.0,2023-05-28
Entire home/apt,Western Addition,37.77708,-122.44271,110.0,2023-03-31
Entire home/apt,Noe Valley,37.75458,-122.43141,130.0,2023-02-10
Entire home/apt,Chinatown,37.79581,-122.40842,499.0,2023-05-28
Entire home/apt,Outer Richmond,37.77459,-122.48206,493.0,2023-03-25
Entire home/apt,Inner Richmond,37.77689,-122.45594,450.0,2023-04-24
Private room,Western Addition,37.77194,-122.43583,185.0,2023-05-18
Entire home/apt,Parkside,37.74793,-122.47477,443.0,2023-05-21
Private room,Downtown/Civic Center,37.78622,-122.41626,95.0,2023-03-25
Private room,Bernal Heights,37.74403,-122.41755,80.0,2023-05-22
Entire home/apt,Mission,37.74971,-122.4155,550.0,2023-02-06
Entire home/apt,Russian Hill,37.79752,-122.42233,242.0,2023-02-06
Entire home/apt,Potrero Hill,37.7639,-122.39472,103.0,2023-05-19
Entire home/apt,Mission,37.7572,-122.40871,241.0,2023-05-03
Entire home/apt,Haight Ashbury,37.76228,-122.45161,224.0,2023-05-23
Entire home/apt,Pacific Heights,37.78992,-122.43446,150.0,2023-05-07
Entire home/apt,Castro/Upper Market,37.76088,-122.43916,716.0,2023-04-26
Entire home/apt,Parkside,37.74522,-122.49018,125.0,2023-05-29
Entire home/apt,Western Addition,37.78461,-122.4446,300.0,2023-05-14
Entire home/apt,Haight Ashbury,37.76836,-122.44699,500.0,2023-05-09
Private room,Downtown/Civic Center,37.78923,-122.40765,102.0,2023-05-20
Entire home/apt,Haight Ashbury,37.7592,-122.44888,250.0,2023-01-16
Private room,Outer Mission,37.73218,-122.43726,72.0,2023-05-21
Entire home/apt,Inner Sunset,37.76459,-122.45483,149.0,2023-01-07
Entire home/apt,Mission,37.76091,-122.42393,400.0,2023-05-21
Entire home/apt,Russian Hill,37.79769,-122.41155,275.0,2023-05-02
Entire home/apt,Mission,37.75252,-122.42474,116.0,2023-05-21
Private room,Downtown/Civic Center,37.78964,-122.40968,101.0,2023-05-16
Entire home/apt,South of Market,37.78402,-122.39853,295.0,2023-04-26
Entire home/apt,Castro/Upper Market,37.76223,-122.42918,125.0,2023-05-20
Entire home/apt,Marina,37.80011,-122.44451,160.0,2023-05-27
Entire home/apt,Castro/Upper Market,37.7606,-122.44509,200.0,2023-03-31
Private room,Bernal Heights,37.73628,-122.41252,68.0,2023-05-29
Entire home/apt,Noe Valley,37.75491,-122.439186,525.0,2023-04-25
Private room,Downtown/Civic Center,37.77921,-122.4223,338.0,2023-05-04
Entire home/apt,Castro/Upper Market,37.76595,-122.4304,110.0,2023-04-29
Entire home/apt,Castro/Upper Market,37.7577,-122.43683,166.0,2023-05-23
Entire home/apt,Downtown/Civic Center,37.77916,-122.42119,99.0,2023-04-14
Entire home/apt,Mission,37.75119,-122.41427,191.0,2023-06-02
Entire home/apt,Glen Park,37.74088,-122.43251,206.0,2023-05-04
Private room,Downtown/Civic Center,37.78773,-122.40768,225.0,2023-03-26
Entire home/apt,Noe Valley,37.75297,-122.43685,206.0,2023-05-24
Private room,Western Addition,37.77257,-122.42509,125.0,2023-05-24
Entire home/apt,Bernal Heights,37.74797,-122.41111,172.0,2023-05-28
Private room,Excelsior,37.72369,-122.42865,86.0,2023-05-31
Entire home/apt,Noe Valley,37.74994,-122.44068,117.0,2023-02-07
Entire home/apt,Outer Sunset,37.76134,-122.48304,184.0,2023-05-16
Entire home/apt,Mission,37.75884,-122.42232,125.0,2023-04-17
Entire home/apt,Bernal Heights,37.73633,-122.42129,116.0,2023-05-26
Private room,Potrero Hill,37.75975,-122.39576,128.0,2023-05-21
Entire home/apt,Outer Richmond,37.78028,-122.50252,130.0,2023-05-20
Entire home/apt,Western Addition,37.77196,-122.43477,425.0,2023-05-29
Private room,Mission,37.75594,-122.41105,102.0,2023-03-25
Private room,Bernal Heights,37.74069,-122.41052,99.0,2023-03-04
Entire home/apt,Noe Valley,37.75289,-122.44003,275.0,2023-06-03
Private room,Bernal Heights,37.74282,-122.42033,91.0,2023-05-27
Entire home/apt,Russian Hill,37.79989,-122.42055,720.0,2023-05-23
Entire home/apt,Bernal Heights,37.74049,-122.41637,110.0,2023-03-21
Entire home/apt,Nob Hill,37.79635,-122.41354,199.0,2023-04-28
Private room,Outer Mission,37.72811,-122.44251,125.0,2023-05-21
Entire home/apt,Inner Richmond,37.78341,-122.46613,350.0,2023-04-30
Entire home/apt,Western Addition,37.77417,-122.42751,255.0,2023-05-18
Entire home/apt,Presidio Heights,37.78301,-122.45865,900.0,2023-01-01
Entire home/apt,Pacific Heights,37.79039,-122.44014,583.0,2023-05-21
Entire home/apt,Mission,37.75944,-122.42379,680.0,2023-05-17
Entire home/apt,Bernal Heights,37.74031,-122.41762,153.0,2023-05-16
Entire home/apt,Noe Valley,37.74547,-122.42524,170.0,2023-04-29
Entire home/apt,Castro/Upper Market,37.75663,-122.43497,131.0,2023-02-16
Entire home/apt,Marina,37.79938,-122.43899,150.0,2023-03-18
Entire home/apt,Inner Richmond,37.78262,-122.46797,229.0,2023-05-31
Entire home/apt,Twin Peaks,37.75237,-122.44802,349.0,2023-04-14
Entire home/apt,West of Twin Peaks,37.72905,-122.46553,225.0,2023-04-28
Private room,Castro/Upper Market,37.75669,-122.43422,217.0,2023-05-08
Entire home/apt,Crocker Amazon,37.70854,-122.45021,122.0,2023-05-30
Private room,Financial District,37.78931,-122.40588,154.0,2023-05-24
Entire home/apt,Mission,37.75415,-122.42263,437.0,2023-05-11
Entire home/apt,Noe Valley,37.74463,-122.43423,150.0,2023-05-08
Entire home/apt,Ocean View,37.71976,-122.45037,180.0,2023-01-02
Entire home/apt,Mission,37.75192,-122.40878,97.0,2023-03-19
Entire home/apt,North Beach,37.8025,-122.40647,350.0,2023-05-08
Entire home/apt,Haight Ashbury,37.76529,-122.44437,178.0,2023-06-04
Private room,Mission,37.75311,-122.41073,143.0,2023-06-01
Private room,Potrero Hill,37.7512,-122.40018,89.0,2023-05-22
Private room,Nob Hill,37.79013,-122.4208,120.0,2023-03-11
Entire home/apt,Mission,37.77125549316406,-122.42398834228516,209.0,2023-05-11
Private room,Nob Hill,37.79043,-122.41993,120.0,2023-04-09
Entire home/apt,Castro/Upper Market,37.76669,-122.43626,168.0,2023-06-01
Private room,Nob Hill,37.79058,-122.41955,90.0,2023-01-29
Private room,West of Twin Peaks,37.73217,-122.46167,119.0,2023-05-02
Entire home/apt,Outer Mission,37.72833,-122.44125,225.0,2023-04-28
Private room,Potrero Hill,37.7596,-122.39619,128.0,2023-06-01
Private room,South of Market,37.77773,-122.41033,106.0,2023-05-12
Private room,South of Market,37.77792,-122.41052,83.0,2023-05-15
Entire home/apt,Mission,37.76493,-122.40559,179.0,2023-05-29
Entire home/apt,Marina,37.80461,-122.44627,603.0,2023-01-12
Entire home/apt,Mission,37.76302,-122.41999,92.0,2023-04-30
Entire home/apt,Mission,37.75837,-122.41092,114.0,2023-01-28
Entire home/apt,Noe Valley,37.74332,-122.42707,165.0,2023-05-15
Private room,Outer Richmond,37.78089,-122.50488,89.0,2023-04-28
Entire home/apt,Excelsior,37.72525,-122.43228,112.0,2023-04-29
Entire home/apt,Western Addition,37.78674,-122.42996,180.0,2023-05-03
Entire home/apt,Potrero Hill,37.76138,-122.4038,159.0,2023-05-24
Entire home/apt,Castro/Upper Market,37.76023,-122.43581,133.0,2023-05-04
Entire home/apt,Marina,37.80028,-122.44657,200.0,2023-05-20
Private room,Russian Hill,37.80061,-122.41355,77.0,2023-05-10
Private room,Western Addition,37.7699,-122.42917,90.0,2023-04-07
Entire home/apt,Outer Sunset,37.75693,-122.50463,530.0,2023-05-29
Entire home/apt,Haight Ashbury,37.77024,-122.44839,980.0,2023-01-12
Entire home/apt,Chinatown,37.79102,-122.40698,123.0,2023-04-29
Entire home/apt,Outer Sunset,37.7569,-122.48762,142.0,2023-03-28
Entire home/apt,Noe Valley,37.75251,-122.43317,100.0,2023-04-26
Private room,Bernal Heights,37.73835,-122.41134,77.0,2023-05-28
Private room,Noe Valley,37.75223,-122.44055,95.0,2023-03-16
